    road    | grid_intersections | total_intersections | non_grid_intersections 
  802077108 |                  8 |                  21 |                     13
  802077907 |                  6 |                  15 |                      9
  802080233 |                  2 |                   8 |                      6
  803189242 |                  3 |                  14 |                     11
  803189244 |                  0 |                   6 |                      6
  803200024 |                  3 |                  10 |                      7
  803200029 |                  6 |                  15 |                      9
  803200030 |                  4 |                  18 |                     14
  803200033 |                  8 |                  23 |                     15
  804512885 |                  4 |                  15 |                     11
  804512886 |                 29 |                  55 |                     26
  804517641 |                  0 |                   7 |                      7
  804517643 |                  3 |                  11 |                      8
  804517644 |                  5 |                  11 |                      6
  804517645 |                  2 |                  10 |                      8
  804517649 |                  2 |                  14 |                     12
  804517652 |                  3 |                  16 |                     13
  804518684 |                  1 |                   7 |                      6
  805168342 |                  8 |                  22 |                     14
  805168343 |                  3 |                  18 |                     15
  805168344 |                 14 |                  25 |                     11
  805168346 |                 14 |                  26 |                     12
  805502115 |                  4 |                  31 |                     27
  807680159 |                  5 |                  13 |                      8
  807681731 |                 15 |                  28 |                     13
  807681732 |                 13 |                  27 |                     14
  807683072 |                  6 |                  12 |                      6
  807719307 |                  2 |                  13 |                     11
  808241813 |                  4 |                  11 |                      7
  808241814 |                  4 |                  11 |                      7
  808241815 |                  4 |                  12 |                      8
  808241816 |                  4 |                  12 |                      8
  808241817 |                  3 |                  10 |                      7
  808241818 |                  3 |                  10 |                      7
  808241819 |                  3 |                  10 |                      7
  808241820 |                  4 |                  10 |                      6
  808241821 |                  3 |                  10 |                      7
  808241822 |                  4 |                  13 |                      9
  808241823 |                  5 |                  14 |                      9
  808246208 |                  4 |                  13 |                      9
  808246209 |                  7 |                  14 |                      7
  808246210 |                  6 |                  13 |                      7
  808246216 |                  6 |                  13 |                      7
  808246225 |                  5 |                  13 |                      8
  808246227 |                  8 |                  18 |                     10
  808246233 |                  4 |                  11 |                      7
  808246235 |                  5 |                  12 |                      7
  808250430 |                  6 |                  15 |                      9
  808250431 |                  6 |                  14 |                      8
  808250432 |                  7 |                  17 |                     10
  808250434 |                  0 |                   6 |                      6
  808250435 |                  1 |                   9 |                      8
  808250436 |                  1 |                   7 |                      6
  808250444 |                  3 |                  10 |                      7
  808251839 |                  4 |                  62 |                     58
  808251840 |                  4 |                  62 |                     58
  808252238 |                  0 |                   9 |                      9
  808252239 |                  0 |                   9 |                      9
  808254278 |                  0 |                  11 |                     11
  808254279 |                  1 |                  11 |                     10
  808254280 |                  3 |                  11 |                      8
  808254283 |                  3 |                  36 |                     33
  808254284 |                  1 |                   7 |                      6
  808254286 |                  0 |                   6 |                      6
  808254287 |                  0 |                  11 |                     11
  808254288 |                  0 |                  11 |                     11
  808254289 |                  3 |                  12 |                      9
  808254290 |                  0 |                  11 |                     11
  809419847 |                  0 |                  11 |                     11
  809419848 |                  0 |                   7 |                      7
  809951382 |                  9 |                  26 |                     17
  810781285 |                  3 |                   9 |                      6
  810781295 |                  0 |                   9 |                      9
  812585181 |                  0 |                   6 |                      6
  812695553 |                  3 |                  11 |                      8
  816387553 |                  1 |                   8 |                      7
  816468544 |                  3 |                  18 |                     15
  817063388 |                  0 |                   6 |                      6
  817092490 |                  1 |                  10 |                      9
  818272655 |                  1 |                  13 |                     12
  819837316 |                  5 |                  11 |                      6
  819837325 |                  7 |                  41 |                     34
  820774032 |                  3 |                  57 |                     54
  820774033 |                  3 |                  43 |                     40
  821705470 |                  0 |                  10 |                     10
  824024202 |                 25 |                  60 |                     35
  824030001 |                  2 |                   8 |                      6
  824030025 |                  1 |                   7 |                      6
  824030026 |                  1 |                  10 |                      9
  824030027 |                  1 |                   8 |                      7
  824030029 |                  3 |                  12 |                      9
  824030033 |                  2 |                   9 |                      7
  825071696 |                  4 |                  14 |                     10
  825074398 |                  1 |                   7 |                      6
  827923535 |                 10 |                  32 |                     22
  828474462 |                  2 |                  11 |                      9
  833614217 |                  0 |                   8 |                      8
  837961319 |                  3 |                  10 |                      7
  837961326 |                  0 |                   6 |                      6
  840359598 |                  1 |                   7 |                      6
  840359599 |                  4 |                  11 |                      7
  841560191 |                  0 |                   9 |                      9
  846959320 |                  0 |                   6 |                      6
  847757688 |                  1 |                   9 |                      8
  848592463 |                  3 |                  10 |                      7
  848592465 |                  3 |                  11 |                      8
  848592466 |                  4 |                  11 |                      7
  848592474 |                  4 |                  11 |                      7
  848592475 |                  0 |                   7 |                      7
  849017286 |                  0 |                  17 |                     17
  849210170 |                  5 |                  25 |                     20
  849808799 |                  2 |                   9 |                      7
  849808804 |                  0 |                   7 |                      7
  850242431 |                  1 |                  10 |                      9
  851630851 |                  4 |                  18 |                     14
  851630852 |                  0 |                  12 |                     12
  851630853 |                  2 |                  11 |                      9
  851630855 |                  1 |                   7 |                      6
  851630856 |                  2 |                  36 |                     34
  851858505 |                 15 |                  46 |                     31
  851858508 |                  0 |                  11 |                     11
  851858509 |                  0 |                   6 |                      6
  852265971 |                  0 |                   6 |                      6
  852266002 |                  1 |                   7 |                      6
  854967091 |                  8 |                  14 |                      6
  856367672 |                  0 |                   9 |                      9
  856536913 |                  1 |                  17 |                     16
  856536916 |                  0 |                   9 |                      9
  856536917 |                  2 |                  10 |                      8
  857079114 |                  2 |                  11 |                      9
  858280888 |                  0 |                  10 |                     10
  858280890 |                  0 |                  12 |                     12
  858280895 |                  1 |                   7 |                      6
  858280896 |                  0 |                   7 |                      7
  858280899 |                  4 |                  38 |                     34
  858280900 |                  3 |                  19 |                     16
  858280901 |                  1 |                   7 |                      6
  858280902 |                  1 |                  11 |                     10
  862424538 |                  2 |                  15 |                     13
  863658667 |                  1 |                  10 |                      9
  863658669 |                  2 |                   8 |                      6
  865100014 |                  0 |                   6 |                      6
  865100015 |                  0 |                   8 |                      8
  865100016 |                  0 |                   6 |                      6
  866969479 |                  0 |                  12 |                     12
  867579556 |                  0 |                   6 |                      6
  869978035 |                  0 |                  10 |                     10
  874433020 |                  9 |                  24 |                     15
  874433021 |                  3 |                  10 |                      7
  874449262 |                  0 |                   6 |                      6
  874449263 |                  1 |                   7 |                      6
  874449266 |                  2 |                   8 |                      6
  874449269 |                  0 |                   7 |                      7
  874449270 |                  0 |                   7 |                      7
  874449271 |                  1 |                   9 |                      8
  874449289 |                  0 |                   9 |                      9
  874453222 |                  5 |                  11 |                      6
  874453225 |                  1 |                   9 |                      8
  874453229 |                  0 |                  11 |                     11
  874453236 |                  2 |                   9 |                      7
  874453241 |                  1 |                   7 |                      6
  874459689 |                  0 |                  13 |                     13
  874459693 |                  6 |                  12 |                      6
  874459702 |                  1 |                   7 |                      6
  874459703 |                  2 |                   8 |                      6
  874459710 |                  5 |                  11 |                      6
  874459712 |                  0 |                   6 |                      6
  874459713 |                  0 |                   6 |                      6
  874459716 |                  0 |                  10 |                     10
  874459720 |                  0 |                  11 |                     11
  874459726 |                  0 |                   6 |                      6
  874459730 |                  0 |                  11 |                     11
  874462167 |                  0 |                  11 |                     11
  874462171 |                  0 |                  11 |                     11
  874462174 |                  0 |                   6 |                      6
  874462176 |                  1 |                   9 |                      8
  874462178 |                  0 |                  14 |                     14
  874462184 |                  9 |                  15 |                      6
  874462187 |                  0 |                  14 |                     14
  874462195 |                  6 |                  14 |                      8
  874463448 |                  1 |                   7 |                      6
  874463458 |                  0 |                   6 |                      6
  874465432 |                  0 |                   6 |                      6
  874465433 |                  0 |                   6 |                      6
  874465434 |                  0 |                   6 |                      6
  874465435 |                  0 |                   6 |                      6
  874465436 |                  0 |                   6 |                      6
  874465437 |                  0 |                   6 |                      6
  874465438 |                  0 |                   7 |                      7
  874465439 |                  0 |                   6 |                      6
  874465440 |                  0 |                   7 |                      7
  874465441 |                  0 |                   6 |                      6
  874465442 |                  0 |                   8 |                      8
  875325605 |                  0 |                   6 |                      6
  875355269 |                  0 |                   8 |                      8
  875355270 |                  0 |                   6 |                      6
  875355272 |                  0 |                   6 |                      6
  875355274 |                  0 |                   6 |                      6
  875355276 |                  0 |                   7 |                      7
  875355277 |                  0 |                   7 |                      7
  875355278 |                  0 |                   6 |                      6
  875355279 |                  0 |                   6 |                      6
  875355280 |                  0 |                   6 |                      6
  875355281 |                  0 |                   8 |                      8
  875355282 |                  0 |                   6 |                      6
  875355283 |                  0 |                   6 |                      6
  875355284 |                  0 |                   7 |                      7
  875355285 |                  0 |                   7 |                      7
  875355287 |                  0 |                   8 |                      8
  875355288 |                  0 |                   6 |                      6
  875672320 |                  0 |                   6 |                      6
  875672327 |                  0 |                   6 |                      6
  875672328 |                  0 |                   6 |                      6
  875672329 |                  0 |                   6 |                      6
  875672330 |                  0 |                   6 |                      6
  875672331 |                  0 |                   6 |                      6
  875672332 |                  0 |                   6 |                      6
  875672334 |                  0 |                   6 |                      6
  875672337 |                  0 |                   6 |                      6
  875672342 |                  0 |                   6 |                      6
  875672343 |                  0 |                   6 |                      6
  875672345 |                  0 |                   6 |                      6
  875673067 |                  0 |                   6 |                      6
  875673069 |                  0 |                   7 |                      7
  875673070 |                  0 |                   6 |                      6
  875673071 |                  0 |                   8 |                      8
  875673072 |                  0 |                   7 |                      7
  875673073 |                  0 |                   7 |                      7
  875673074 |                  0 |                   7 |                      7
  875673076 |                  0 |                   6 |                      6
  875673077 |                  0 |                   7 |                      7
  875673079 |                  0 |                   7 |                      7
  875673603 |                  0 |                   8 |                      8
  876352101 |                  0 |                   6 |                      6
  876352102 |                  0 |                   8 |                      8
  876352109 |                  0 |                   7 |                      7
  876352110 |                  9 |                  17 |                      8
  876352111 |                  0 |                   6 |                      6
  876352114 |                  0 |                   7 |                      7
  876354346 |                  0 |                   6 |                      6
  876354348 |                  0 |                   6 |                      6
  876385768 |                  0 |                   6 |                      6
  876385770 |                  0 |                   6 |                      6
  876385772 |                  0 |                   6 |                      6
  876385773 |                  1 |                   7 |                      6
  876385775 |                  0 |                   8 |                      8
  876385776 |                  0 |                   7 |                      7
  876385777 |                  8 |                  14 |                      6
  876388681 |                  0 |                   8 |                      8
  876388684 |                  0 |                   6 |                      6
  876388685 |                  0 |                   6 |                      6
  876388690 |                  0 |                   6 |                      6
  876388691 |                  0 |                   6 |                      6
  876388692 |                  0 |                   6 |                      6
  876641507 |                  0 |                   6 |                      6
  878733777 |                  2 |                   8 |                      6
  878733778 |                  0 |                   6 |                      6
  878733785 |                  0 |                   6 |                      6
  878733786 |                  0 |                   6 |                      6
  878733789 |                  0 |                   6 |                      6
  878733793 |                  0 |                   6 |                      6
  878733795 |                  0 |                   6 |                      6
  878748249 |                  0 |                   6 |                      6
  878748251 |                  0 |                   6 |                      6
  878748252 |                  0 |                   6 |                      6
  878748254 |                  0 |                   7 |                      7
  878748261 |                  0 |                   6 |                      6
  878748265 |                  0 |                   6 |                      6
  878748275 |                  0 |                   6 |                      6
  878748279 |                  0 |                   7 |                      7
  878748285 |                  0 |                   8 |                      8
  881108208 |                  0 |                   7 |                      7
  881108209 |                  0 |                   6 |                      6
  881108212 |                  0 |                   6 |                      6
  881108213 |                  0 |                   6 |                      6
  881108215 |                  0 |                   6 |                      6
  881108216 |                  0 |                   7 |                      7
  881108221 |                  0 |                   6 |                      6
  881108226 |                  0 |                   6 |                      6
  881108227 |                  0 |                   7 |                      7
  881108228 |                  0 |                   6 |                      6
  881108243 |                  1 |                   7 |                      6
  881108245 |                  4 |                  21 |                     17
  881108252 |                  1 |                   8 |                      7
  881108253 |                  0 |                   8 |                      8
  881109784 |                  0 |                  10 |                     10
  881109785 |                  0 |                   6 |                      6
  881109787 |                  0 |                   6 |                      6
  883945800 |                  7 |                  16 |                      9
  884121558 |                  0 |                   6 |                      6
  884952053 |                 18 |                  27 |                      9
  888320708 |                  0 |                   6 |                      6
  890870215 |                  7 |                  20 |                     13
  890870220 |                  1 |                   7 |                      6
  890870225 |                  1 |                   7 |                      6
  892079511 |                  0 |                   6 |                      6
  892164375 |                 11 |                  21 |                     10
  892527743 |                  0 |                   6 |                      6
  893091749 |                  0 |                  10 |                     10
  893091753 |                  1 |                   7 |                      6
  893091754 |                  0 |                   6 |                      6
  893091756 |                  2 |                   8 |                      6
  893091757 |                  3 |                   9 |                      6
  893091758 |                  2 |                   8 |                      6
  894654859 |                  0 |                   8 |                      8
  896336497 |                  0 |                   6 |                      6
  897656682 |                  0 |                   6 |                      6
  899091050 |                  0 |                  15 |                     15
  899091055 |                  0 |                  10 |                     10
  899091074 |                  4 |                  13 |                      9
  899091077 |                  0 |                   7 |                      7
  899091091 |                  0 |                  10 |                     10
  899091092 |                  0 |                   6 |                      6
  899091098 |                  3 |                  11 |                      8
  899091100 |                  3 |                  11 |                      8
  899091109 |                  2 |                   9 |                      7
  899091119 |                  3 |                   9 |                      6
  899091120 |                  0 |                  10 |                     10
  899091124 |                  3 |                  10 |                      7
  899091199 |                  0 |                   7 |                      7
  899091266 |                  2 |                   8 |                      6
  899091272 |                  0 |                   9 |                      9
  899091323 |                  1 |                   8 |                      7
  899091326 |                  0 |                   6 |                      6
  899091327 |                  0 |                   9 |                      9
  899091330 |                  0 |                   8 |                      8
  899219431 |                  2 |                   8 |                      6
  899219433 |                  0 |                  12 |                     12
  899219434 |                  0 |                   6 |                      6
  899219442 |                  0 |                   8 |                      8
  899219449 |                  0 |                  11 |                     11
  899219451 |                  0 |                  10 |                     10
  899219453 |                  0 |                   9 |                      9
  899219458 |                  3 |                  12 |                      9
  899219460 |                  0 |                   9 |                      9
  899219461 |                  1 |                   8 |                      7
  899219467 |                  0 |                   8 |                      8
  899219468 |                  0 |                  10 |                     10
  899219480 |                  2 |                   8 |                      6
  899219482 |                  0 |                   8 |                      8
  899219484 |                  0 |                   9 |                      9
  899219489 |                  0 |                   8 |                      8
  899219490 |                  0 |                   7 |                      7
  899219491 |                  0 |                   8 |                      8
  899219495 |                  0 |                   9 |                      9
  899219496 |                  0 |                   7 |                      7
  899219500 |                  0 |                  10 |                     10
  899219502 |                  0 |                   8 |                      8
  899219504 |                  2 |                  10 |                      8
  899219505 |                  0 |                   7 |                      7
  899219506 |                  0 |                   7 |                      7
  899219507 |                  0 |                   7 |                      7
  899219509 |                  0 |                  10 |                     10
  899219510 |                  0 |                   7 |                      7
  899219514 |                  2 |                  10 |                      8
  899219515 |                  0 |                   7 |                      7
  899706699 |                  0 |                   6 |                      6
  899706733 |                  0 |                   7 |                      7
  899706750 |                  0 |                   8 |                      8
  899706751 |                  1 |                   7 |                      6
  899706753 |                  0 |                  10 |                     10
  899706755 |                  0 |                  10 |                     10
  899706759 |                  0 |                  12 |                     12
  899706760 |                  0 |                   7 |                      7
  899706762 |                  0 |                  11 |                     11
  899706763 |                  0 |                   8 |                      8
  899706770 |                 12 |                  29 |                     17
  899706771 |                  6 |                  25 |                     19
  899706774 |                  3 |                   9 |                      6
  899706777 |                  3 |                  10 |                      7
  899706787 |                  4 |                  15 |                     11
  899706788 |                  0 |                  15 |                     15
  899706807 |                  0 |                   9 |                      9
  899706820 |                  0 |                   9 |                      9
  899706821 |                  1 |                   7 |                      6
  899706822 |                  0 |                   6 |                      6
  899706823 |                  0 |                   9 |                      9
  899706825 |                  0 |                   8 |                      8
  899706826 |                  0 |                   9 |                      9
  899706827 |                  1 |                   7 |                      6
  899706830 |                  0 |                  12 |                     12
  899706831 |                  2 |                  10 |                      8
  899706836 |                  0 |                  10 |                     10
  899706840 |                  0 |                   9 |                      9
  899706842 |                  0 |                   8 |                      8
  899706843 |                  0 |                   7 |                      7
  899706844 |                  0 |                   8 |                      8
  899706845 |                  1 |                   7 |                      6
  899706848 |                  0 |                  11 |                     11
  899706849 |                  0 |                  10 |                     10
  900175946 |                  3 |                  14 |                     11
  900175948 |                  0 |                  11 |                     11
  900175952 |                  0 |                  12 |                     12
  900175965 |                  0 |                  11 |                     11
  900175968 |                  1 |                   7 |                      6
  900175970 |                  5 |                  11 |                      6
  900175982 |                  0 |                   9 |                      9
  900175991 |                  0 |                   7 |                      7
  900175993 |                  3 |                   9 |                      6
  900176015 |                  1 |                   8 |                      7
  900176016 |                  2 |                   8 |                      6
  900176032 |                  0 |                   9 |                      9
  900176034 |                  2 |                   8 |                      6
  900176035 |                  0 |                   7 |                      7
  900176053 |                  3 |                  12 |                      9
  900176054 |                  2 |                  12 |                     10
  900176055 |                  0 |                   7 |                      7
  900176056 |                  0 |                   8 |                      8
  900176057 |                  4 |                  12 |                      8
  900176059 |                  0 |                  17 |                     17
  900176060 |                  4 |                  10 |                      6
  900176061 |                  3 |                   9 |                      6
  900176067 |                  3 |                  10 |                      7
  900176068 |                  2 |                   9 |                      7
  900176070 |                  7 |                  14 |                      7
  900176071 |                  2 |                  10 |                      8
  900176073 |                  4 |                  13 |                      9
  900176075 |                  0 |                  10 |                     10
  900176079 |                  0 |                   7 |                      7
  900176080 |                  1 |                   8 |                      7
  900176083 |                  3 |                   9 |                      6
  900176085 |                  2 |                   8 |                      6
  900530870 |                  0 |                   9 |                      9
  900530871 |                  0 |                   8 |                      8
  900530872 |                  0 |                   9 |                      9
  900530875 |                  0 |                   8 |                      8
  900530876 |                  0 |                   9 |                      9
  900530877 |                  0 |                   9 |                      9
  900530879 |                  0 |                  11 |                     11
  900530883 |                  0 |                  10 |                     10
  900530884 |                  1 |                   9 |                      8
  900530885 |                  0 |                  11 |                     11
  900530886 |                  1 |                   8 |                      7
  900530887 |                  0 |                   8 |                      8
  900530888 |                  0 |                   8 |                      8
  900530891 |                  0 |                   8 |                      8
  900530892 |                  0 |                  10 |                     10
  900530893 |                  0 |                  10 |                     10
  900530894 |                  0 |                   7 |                      7
  900530897 |                  4 |                  14 |                     10
  900530898 |                  0 |                   8 |                      8
  900530903 |                  1 |                   8 |                      7
  900530904 |                  1 |                   9 |                      8
  900530917 |                  2 |                   8 |                      6
  900530918 |                  2 |                   8 |                      6
  900530925 |                  1 |                  14 |                     13
  900530928 |                  2 |                   8 |                      6
  900530929 |                  4 |                  11 |                      7
  900530936 |                  0 |                   9 |                      9
  900530941 |                  0 |                   9 |                      9
  900530943 |                  0 |                   8 |                      8
  900530944 |                  0 |                   8 |                      8
  900530946 |                  0 |                   7 |                      7
  900530947 |                  0 |                  10 |                     10
  900530948 |                  0 |                  10 |                     10
  900530949 |                  0 |                   8 |                      8
  900530987 |                  0 |                   6 |                      6
  900531002 |                  0 |                  10 |                     10
  900531005 |                  0 |                   8 |                      8
  900531006 |                  1 |                   8 |                      7
  900531007 |                  0 |                   7 |                      7
  900531010 |                  1 |                   9 |                      8
  900559626 |                  0 |                   8 |                      8
  900559627 |                  0 |                   7 |                      7
  900559628 |                  0 |                   8 |                      8
  900559629 |                  0 |                   7 |                      7
  900559630 |                  0 |                   9 |                      9
  900559634 |                  0 |                   9 |                      9
  900559635 |                  0 |                  10 |                     10
  900559639 |                  0 |                   8 |                      8
  900559647 |                  0 |                  10 |                     10
  900559649 |                  0 |                   8 |                      8
  900559655 |                  0 |                   6 |                      6
  900559657 |                  0 |                  10 |                     10
  900559658 |                  1 |                  10 |                      9
  900559660 |                  0 |                  11 |                     11
  900559661 |                  0 |                   7 |                      7
  900559662 |                  0 |                   9 |                      9
  900559664 |                  0 |                   7 |                      7
  900559665 |                  0 |                   6 |                      6
  900559666 |                  0 |                   9 |                      9
  900559667 |                  0 |                   8 |                      8
  900559668 |                  0 |                   9 |                      9
  900559670 |                  0 |                   9 |                      9
  900559673 |                  0 |                   7 |                      7
  900559677 |                  0 |                   6 |                      6
  900559678 |                  2 |                   8 |                      6
  900559682 |                  0 |                   8 |                      8
  900559687 |                  5 |                  11 |                      6
  900559688 |                  2 |                   9 |                      7
  900559694 |                  0 |                   6 |                      6
  900559701 |                  0 |                   7 |                      7
  900559703 |                  0 |                   9 |                      9
  900559712 |                  1 |                   7 |                      6
  900559715 |                  6 |                  12 |                      6
  900559721 |                  0 |                  11 |                     11
  900559723 |                  0 |                  12 |                     12
  900559732 |                  0 |                  12 |                     12
  900559739 |                  3 |                  10 |                      7
  900559740 |                  2 |                   9 |                      7
  900559753 |                  2 |                  11 |                      9
  900559757 |                  0 |                   6 |                      6
  900559759 |                  0 |                   8 |                      8
  900559760 |                  0 |                   6 |                      6
  900559761 |                  0 |                  11 |                     11
  900559774 |                  1 |                   7 |                      6
  900559803 |                  0 |                   9 |                      9
  900559804 |                  0 |                   6 |                      6
  900559805 |                  0 |                   9 |                      9
  900559806 |                  1 |                   7 |                      6
  900559807 |                  0 |                   6 |                      6
  900559811 |                  0 |                  10 |                     10
  900559816 |                  0 |                   7 |                      7
  900559817 |                  0 |                  10 |                     10
  900559818 |                  0 |                   9 |                      9
  900559819 |                  0 |                   9 |                      9
  900559820 |                  0 |                   7 |                      7
  900559823 |                  0 |                  10 |                     10
  900559827 |                  0 |                  10 |                     10
  900559829 |                  0 |                   8 |                      8
  900559830 |                  0 |                   8 |                      8
  900559831 |                  0 |                  10 |                     10
  900559839 |                  4 |                  10 |                      6
  900559847 |                  1 |                   7 |                      6
  900559849 |                  1 |                   7 |                      6
  900559859 |                  1 |                   7 |                      6
  900559863 |                  1 |                   8 |                      7
  900559872 |                  1 |                   8 |                      7
  900559873 |                  1 |                   9 |                      8
  900559877 |                  1 |                   9 |                      8
  900559878 |                  1 |                   9 |                      8
  900622095 |                  3 |                   9 |                      6
  900622101 |                  4 |                  11 |                      7
  900622109 |                  1 |                  10 |                      9
  900622112 |                  1 |                   8 |                      7
  900622113 |                  3 |                  10 |                      7
  900622116 |                  0 |                   7 |                      7
  900622167 |                  0 |                   9 |                      9
  900622177 |                  2 |                   8 |                      6
  900622210 |                  2 |                   8 |                      6
  900622221 |                  0 |                  10 |                     10
  900622222 |                  0 |                   6 |                      6
  900622227 |                  0 |                   9 |                      9
  900622228 |                  0 |                   8 |                      8
  900622229 |                  0 |                  10 |                     10
  900622231 |                  0 |                   8 |                      8
  900923118 |                  0 |                   6 |                      6
  900923129 |                  0 |                  10 |                     10
  900923130 |                  0 |                   8 |                      8
  900923148 |                  0 |                  12 |                     12
  900923185 |                  0 |                   9 |                      9
  900923197 |                  3 |                   9 |                      6
  901393615 |                  0 |                   9 |                      9
  901393616 |                  1 |                   9 |                      8
  901393617 |                  0 |                  11 |                     11
  901393618 |                  2 |                  11 |                      9
  901393619 |                  0 |                   7 |                      7
  901393620 |                  0 |                  11 |                     11
  901393621 |                  0 |                   8 |                      8
  901393622 |                  0 |                   6 |                      6
  901393623 |                  0 |                   6 |                      6
  901393624 |                  0 |                   9 |                      9
  901393625 |                  0 |                   9 |                      9
