    road    | grid_intersections | total_intersections | non_grid_intersections 
 1049715265 |                  1 |                   7 |                      6
 1049715269 |                  1 |                   7 |                      6
 1049715270 |                  0 |                   7 |                      7
 1049715271 |                  0 |                  14 |                     14
 1049715281 |                  1 |                   8 |                      7
 1049715284 |                  0 |                   8 |                      8
 1049720139 |                  1 |                   7 |                      6
 1049730634 |                  0 |                   8 |                      8
 1049740923 |                  0 |                   8 |                      8
 1049740924 |                  0 |                   6 |                      6
 1049742575 |                  0 |                   9 |                      9
 1049744451 |                  3 |                  10 |                      7
 1049744452 |                  1 |                   8 |                      7
 1049744453 |                  2 |                  10 |                      8
 1049744457 |                  1 |                   7 |                      6
 1049744459 |                  0 |                   7 |                      7
 1050001122 |                  1 |                   8 |                      7
 1050001123 |                  0 |                   8 |                      8
 1050001124 |                  0 |                   6 |                      6
 1050001125 |                  0 |                  12 |                     12
 1050001126 |                  1 |                   8 |                      7
 1050001127 |                  1 |                   7 |                      6
 1050001128 |                  1 |                   7 |                      6
 1050101053 |                  0 |                   9 |                      9
 1050113709 |                  0 |                   6 |                      6
 1050113711 |                  0 |                   6 |                      6
 1050113713 |                  0 |                   6 |                      6
 1050251188 |                  0 |                   7 |                      7
 1050315030 |                  1 |                   8 |                      7
 1050369980 |                  1 |                   7 |                      6
 1050374574 |                  0 |                   6 |                      6
 1050407491 |                  0 |                   6 |                      6
 1050961926 |                  1 |                   8 |                      7
 1050977953 |                  1 |                  14 |                     13
 1051011647 |                  0 |                   7 |                      7
 1051021440 |                  0 |                   6 |                      6
 1051074567 |                  0 |                   6 |                      6
 1051078197 |                  0 |                   6 |                      6
 1051286056 |                  1 |                   7 |                      6
 1051531126 |                  2 |                   8 |                      6
 1052630471 |                  1 |                   7 |                      6
 1052630472 |                  0 |                   6 |                      6
 1052661772 |                  0 |                   6 |                      6
 1052935461 |                  3 |                   9 |                      6
 1052972338 |                  1 |                  14 |                     13
 1053228492 |                  1 |                   9 |                      8
 1053798274 |                  2 |                   8 |                      6
 1053822035 |                  0 |                   7 |                      7
 1055078891 |                  1 |                   8 |                      7
 1055119259 |                  0 |                   6 |                      6
 1055126085 |                  0 |                   7 |                      7
 1055126086 |                  0 |                   8 |                      8
 1055291809 |                  0 |                   7 |                      7
 1055291851 |                  0 |                   6 |                      6
 1055608200 |                  1 |                  15 |                     14
 1055898323 |                  1 |                   9 |                      8
 1055898324 |                  0 |                  12 |                     12
 1056703774 |                  1 |                   7 |                      6
 1056703775 |                  1 |                   7 |                      6
 1056703777 |                  0 |                   7 |                      7
 1057078903 |                  0 |                   6 |                      6
 1057584278 |                  0 |                   6 |                      6
 1058943507 |                  0 |                   6 |                      6
 1059748468 |                  5 |                  26 |                     21
 1059789017 |                  0 |                   8 |                      8
 1059851900 |                  1 |                  10 |                      9
 1059886758 |                  4 |                  11 |                      7
 1059886760 |                  1 |                   9 |                      8
 1059886763 |                  1 |                   8 |                      7
 1061011977 |                  1 |                  13 |                     12
 1061011979 |                  0 |                   6 |                      6
 1061628064 |                  0 |                   6 |                      6
 1061781391 |                  2 |                  12 |                     10
 1061781392 |                  0 |                   6 |                      6
 1062499550 |                  0 |                   6 |                      6
 1062768850 |                  1 |                   7 |                      6
 1062768887 |                  1 |                   7 |                      6
 1062768893 |                  2 |                   9 |                      7
 1062881416 |                  1 |                   7 |                      6
 1062955184 |                  0 |                   6 |                      6
 1063805497 |                  0 |                   6 |                      6
 1064271227 |                  0 |                   6 |                      6
 1065067246 |                  1 |                   7 |                      6
 1065067247 |                  0 |                   7 |                      7
 1065404378 |                  0 |                   6 |                      6
 1065404380 |                  0 |                   7 |                      7
 1065500246 |                  0 |                   7 |                      7
 1066018211 |                  0 |                   6 |                      6
 1066021040 |                  0 |                   7 |                      7
 1066023436 |                  0 |                   6 |                      6
 1068256450 |                  2 |                  11 |                      9
 1068256452 |                  1 |                   9 |                      8
 1068256454 |                  0 |                   7 |                      7
 1068545620 |                  1 |                   7 |                      6
 1068545621 |                  1 |                  10 |                      9
 1068545622 |                  1 |                  10 |                      9
 1068545624 |                  1 |                   7 |                      6
 1072182906 |                  0 |                   7 |                      7
 1072266448 |                  0 |                   6 |                      6
 1072317926 |                  1 |                   8 |                      7
 1072317927 |                  0 |                   6 |                      6
 1072483959 |                  0 |                   9 |                      9
 1072930084 |                  1 |                   7 |                      6
 1072930086 |                  0 |                   8 |                      8
 1073969340 |                  2 |                   8 |                      6
 1074051759 |                  1 |                   7 |                      6
 1074053901 |                  2 |                   8 |                      6
 1074053921 |                  3 |                  15 |                     12
 1074058653 |                  1 |                   7 |                      6
