   osm_id   |    min_longitude    
  917616223 |  -10387376.53133205
 1006085230 | -10387360.312082242
  728065321 | -10387353.543857202
  881108245 | -10387311.331506293
  765845830 | -10387299.453716625
  917471786 | -10387268.462370388
  924376971 | -10387250.094654407
 1105942640 | -10387183.503335014
  874465442 | -10387176.757373873
  908569359 | -10387172.148746954
   86292510 |  -10387168.80916223
 1105942647 | -10387166.950126734
 1094427196 | -10387099.034105401
  183565965 | -10387073.686657349
  364534952 | -10387071.348948041
  204418709 |  -10387052.36897486
  993980478 | -10387040.157226719
  881108252 | -10387038.164607836
  204418708 | -10387038.019892497
  636535855 | -10387038.019892497
  875673069 | -10387037.674802076
  636535860 | -10387033.066175157
  637589330 | -10387025.696824867
  766381146 | -10387025.207019107
  765993399 |  -10387025.15135936
   43287003 | -10387023.748733778
  761328051 | -10387023.080816831
 1118741120 | -10387015.154869087
  993980472 | -10387014.832042566
  875673072 | -10387013.640924012
  179909297 |  -10387004.86894814
  140637388 | -10386965.094494076
   57004977 | -10386907.586845135
 1090551151 | -10386894.629256407
  762338331 |   -10386885.6235096
    6019573 | -10386881.738459373
  761328065 | -10386880.825639548
  849210170 | -10386855.823281916
  837961326 | -10386755.479892915
  875673076 | -10386755.079142747
  695490955 | -10386754.656128684
  205161195 | -10386751.806349719
 1003297504 | -10386747.153195003
  762338343 |   -10386745.3609512
  762338342 | -10386745.004728831
  695490953 | -10386743.913797822
  695490954 | -10386741.175338348
 1088846684 | -10386741.175338348
  717857004 | -10386740.997227162
 1088846685 | -10386740.763456231
 1050113713 | -10386734.796731526
  794058444 |  -10386725.41249845
 1029287899 | -10386712.911319636
  612228351 | -10386712.343590232
  381523197 | -10386677.556249358
  766381167 | -10386675.096088612
   92986474 | -10386672.068198463
  924376967 | -10386624.601567589
 1120622275 | -10386624.456852252
  119059393 | -10386623.132150311
 1120520902 |  -10386622.29725413
 1050113711 |  -10386616.01883485
  766271968 | -10386608.671748456
 1094213583 | -10386607.525157701
    6027916 |  -10386604.76443433
 1118741122 | -10386599.821848938
 1118741123 |  -10386598.10752878
 1090551153 | -10386596.493396163
  766393117 | -10386595.847743118
 1090551156 | -10386595.769819472
 1090551150 | -10386594.211346602
  444072485 | -10386586.563697586
    6036770 | -10386536.280683594
   86292554 | -10386531.805640064
 1050113709 | -10386517.534481343
 1003297503 | -10386498.532244265
 1065067246 |  -10386484.94013444
  205162542 | -10386468.943523612
  762338347 | -10386467.362786844
  766381171 | -10386455.607448617
  179909286 | -10386436.282385016
   92986388 | -10386400.025626862
  766381148 | -10386396.018125195
   57004983 |  -10386364.73734828
  640047398 | -10386344.043054942
  422278730 | -10386342.106095802
  762338315 | -10386327.244943783
  762338350 | -10386326.154012771
  766373324 |  -10386316.00167521
  179909284 | -10386295.797187634
 1028963809 |  -10386284.33128008
   46309759 |  -10386266.33091842
  114498307 | -10386250.601474369
 1119911746 | -10386190.711588325
  849808804 | -10386180.347743731
  204752774 | -10386173.679706233
  179909302 | -10386153.074468486
 1118741124 | -10386139.359907221
  611155216 | -10386087.562948156
  876352111 | -10386050.838648142
  204846172 |  -10386047.96660528
  876352110 | -10386030.266806245
  801754411 | -10386004.718983106
 1082997743 | -10386004.340496838
 1119911744 | -10385938.450490238
  334800469 | -10385933.418849254
  611155217 | -10385928.821354283
  921461249 | -10385920.817482894
  636434104 |   -10385918.9361835
  204339005 |  -10385914.34982048
    6043235 | -10385907.559331544
  204436714 | -10385898.932071006
  496386012 | -10385881.521702645
  114498261 | -10385827.487221817
  116852011 | -10385794.447596947
  988347991 | -10385794.169298219
    6039420 | -10385755.986712879
  799596422 | -10385753.526552131
  874459703 | -10385747.003229972
 1100723544 | -10385727.845145606
  230400118 |  -10385712.42739613
  143297653 | -10385686.690329859
  230588292 | -10385656.422560314
  640047412 | -10385648.429820873
 1061781392 | -10385633.268106228
  728222328 | -10385631.264355393
  862424538 | -10385621.212205375
  639531057 |  -10385619.20845454
  204612089 | -10385619.041475303
  704555466 |  -10385586.45826035
   45719872 | -10385557.982734604
  230287149 | -10385550.546592617
  101142018 | -10385540.049164636
 1098723660 | -10385539.080685068
  230588291 | -10385522.193518313
    6038749 | -10385513.933612097
  725423600 | -10385480.960778924
  876385773 |  -10385466.02170326
  204821417 |  -10385461.07911787
    6039337 | -10385460.466860669
  733415321 | -10385453.976934355
  733415320 |  -10385453.93240656
 1120622283 | -10385443.791200949
  636334368 |  -10385441.58707503
    6035141 | -10385435.108280666
  812695553 | -10385432.225105854
  772249790 |  -10385427.54968724
  230287148 | -10385422.896532526
   86292525 |  -10385410.38422176
 1006085219 |  -10385371.01051787
 1006085222 | -10385365.644918412
 1094213585 | -10385360.368374549
  640047406 | -10385351.574134775
  636837138 | -10385349.982266057
    6022782 | -10385337.147128768
  421031156 | -10385302.036961373
  204847115 | -10385283.056988193
  230287147 | -10385270.800712256
  174010065 | -10385246.154576994
  496580003 | -10385230.692299724
  659621796 | -10385222.521449098
 1094213584 | -10385204.710330572
  355584427 | -10385190.561623292
  874453241 | -10385184.472447146
  639783577 | -10385150.742641436
  876641507 |  -10385124.69388059
 1104332351 | -10385098.300029323
  230921192 |  -10385095.94005612
 1103021748 | -10385088.470518285
 1104332357 | -10385088.470518285
  496579996 | -10385086.934309313
  636334388 | -10385080.989848504
 1104332349 | -10385079.175340803
 1104332352 |  -10385078.71893089
  902152975 | -10385069.100926887
  458318074 | -10385065.906057501
 1088748305 |  -10385054.78524037
 1088748310 | -10385054.729580626
  230287145 |   -10385053.2267675
 1113250181 |  -10385017.31509977
   92986383 | -10384997.878716677
  230921200 | -10384939.024101896
  892527743 | -10384938.300525207
  205499213 | -10384908.177470997
  636383848 | -10384869.571871588
  203541579 | -10384866.699828727
 1081231836 | -10384854.855434906
 1028884784 | -10384851.582641877
   92986447 | -10384846.406285556
 1051011647 |  -10384842.95538134
  654738416 | -10384813.878730346
  710384778 | -10384813.210813401
  497023609 |  -10384793.74103446
 1003046036 | -10384786.082253493
  900923148 | -10384784.969058586
  991186111 | -10384784.123030458
 1079776600 | -10384780.560806751
 1055608200 | -10384780.126660738
  432828949 | -10384780.026473196
  807719307 | -10384779.892889807
 1004309289 | -10384778.712903203
  988347994 | -10384778.245361343
  991157201 | -10384778.211965496
 1018531960 | -10384778.111777954
  204824375 | -10384775.406714326
  704562133 | -10384766.812849637
 1004309288 |  -10384764.74230711
  301500708 | -10384760.078020446
  874453225 | -10384759.855381465
  996615870 | -10384752.730934052
 1050977953 | -10384750.281905256
  900923197 | -10384741.120311163
  997343213 |  -10384738.49317118
  975632041 |  -10384719.40187851
   84272072 |  -10384715.50569633
 1088748300 | -10384714.225522187
 1050315030 | -10384702.147357436
   69963835 |  -10384699.79851618
 1107283744 | -10384698.240043309
 1001069566 | -10384690.681449885
   92986464 | -10384689.490331333
   67472185 | -10384652.120378274
 1050961926 |  -10384651.92000319
  900622112 |   -10384644.5506529
  902051680 | -10384644.394805614
  991183461 | -10384632.316640861
 1089120122 | -10384622.086379658
  114496598 | -10384603.785455372
  234508488 | -10384590.360324783
   92986450 | -10384574.642012682
  996262772 | -10384573.818248449
 1108439480 | -10384564.823633594
  810781285 | -10384522.967505056
  199807618 | -10384521.130733456
  892079511 | -10384513.627799777
  900622210 |   -10384504.9003517
  756868031 | -10384501.794537907
   92189551 | -10384499.234189618
  225022520 | -10384494.358395921
  900622101 | -10384490.250706712
  772250372 |  -10384489.07072011
  900622095 | -10384486.944517836
   67472195 | -10384447.504022246
  178547027 | -10384440.657873563
  908569612 | -10384431.696654553
  204757474 |  -10384431.65212676
  204757472 | -10384431.195716847
  878733778 | -10384420.876400048
    6030242 | -10384378.107451685
    6027372 | -10384375.357860263
  636434122 |   -10384373.6880679
  637976994 | -10384365.884571599
   86292528 | -10384347.650439003
 1006375948 | -10384336.652073314
 1006391039 | -10384320.109996984
  205518852 | -10384308.499374092
   67472194 | -10384294.116895882
  996298179 | -10384290.521276329
  758314581 | -10384253.607733184
   42823723 | -10384235.707559064
   84272076 | -10384223.540338721
  639531037 | -10384195.532354837
  854967091 | -10384192.337485451
  976239185 | -10384191.380137831
   94055838 |  -10384155.11224773
  902350272 | -10384148.511001926
   69963812 | -10384112.833105125
  902350242 | -10384101.478517065
  204758011 | -10384085.871524455
